neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Outer Mission,2013-07-08,1,1,Entire home,Entire home/apt,5,2,292.0,5.680172609017068,4
South of Market,2015-03-25,3,1,Entire home,Entire home/apt,6,3,950.0,6.85751406254539,0
Bernal Heights,2013-09-22,1,0,Entire guest suite,Entire home/apt,1,1,175.0,5.170483995038151,3
Mission,2016-05-13,1,1,Private room in condo,Private room,2,1,124.0,4.8283137373023015,3
Financial District,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,295.0,5.69035945432406,0
Marina,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,262.0,5.572154032177765,1
Western Addition,2011-03-27,2,1,Private room in rental unit,Private room,1,1,75.0,4.330733340286331,1
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,95.0,4.564348191467836,0
Downtown/Civic Center,2015-01-21,3,1,Entire condo,Entire home/apt,6,3,643.0,6.467698726104354,0
Ocean View,2014-12-24,1,1,Private room in home,Private room,2,1,85.0,4.454347296253507,4
