neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
Downtown/Civic Center,29,1,Room in hotel,Private room,2,1,99.0,388,4.605170185988092,0
Outer Sunset,2,0,Entire home,Entire home/apt,1,1,99.0,234,4.605170185988092,2
Pacific Heights,1,1,Entire home,Entire home/apt,2,1,161.0,903,5.087596335232384,1
Western Addition,1,1,Entire rental unit,Entire home/apt,5,2,164.0,3456,5.10594547390058,1
North Beach,1,1,Entire rental unit,Entire home/apt,5,3,690.0,2925,6.53813982376767,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,4,2,350.0,3557,5.860786223465865,1
South of Market,7,1,Entire rental unit,Entire home/apt,3,2,140.0,3760,4.948759890378168,0
Crocker Amazon,1,1,Entire rental unit,Entire home/apt,10,6,250.0,2434,5.5254529391317835,4
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,160.0,2540,5.081404364984463,0
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,203.0,2540,5.318119993844216,0
Mission,5,0,Private room in rental unit,Private room,1,1,80.0,1644,4.394449154672439,3
Ocean View,1,1,Entire guest suite,Entire home/apt,2,1,75.0,2825,4.330733340286331,4
South of Market,138,1,Entire rental unit,Entire home/apt,4,2,336.0,2540,5.820082930352362,0
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,188.0,2540,5.241747015059643,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,85.0,4000,4.454347296253507,0
Glen Park,1,1,Entire home,Entire home/apt,6,3,400.0,4375,5.993961427306569,3
Outer Richmond,1,1,Entire home,Entire home/apt,5,4,525.0,4183,6.26530121273771,2
Western Addition,5,1,Room in bed and breakfast,Hotel room,1,1,279.0,2192,5.634789603169249,1
Western Addition,5,1,Room in bed and breakfast,Hotel room,3,2,406.0,2192,6.008813185442595,1
Western Addition,2,1,Entire rental unit,Entire home/apt,4,2,132.0,3392,4.890349128221754,1
Mission,1,1,Entire condo,Entire home/apt,5,3,270.0,3961,5.602118820879701,3
