neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
Castro/Upper Market,37.76223,-122.42918,2013-11-02,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Marina,37.80011,-122.44451,2015-12-22,2,0,Entire rental unit,Entire home/apt,5,3,160.0,5.081404364984463
Castro/Upper Market,37.7606,-122.44509,2014-10-14,1,1,Entire condo,Entire home/apt,5,2,200.0,5.303304908059076
Bernal Heights,37.73628,-122.41252,2015-12-22,1,1,Private room in home,Private room,2,2,68.0,4.23410650459726
Haight Ashbury,37.76944,-122.44992,2017-02-19,43,1,Private room in hostel,Private room,4,4,90.0,4.51085950651685
Castro/Upper Market,37.76263276310608,-122.43010497910184,2014-08-19,1,1,Entire home,Entire home/apt,2,2,201.0,5.308267697401205
Noe Valley,37.75491,-122.439186,2016-03-26,1,1,Entire home,Entire home/apt,4,2,525.0,6.26530121273771
Downtown/Civic Center,37.77864,-122.42226,2015-10-26,27,1,Room in boutique hotel,Private room,2,1,213.0,5.365976015021851
Downtown/Civic Center,37.77921,-122.4223,2015-10-26,27,1,Room in boutique hotel,Private room,4,2,338.0,5.82600010738045
Castro/Upper Market,37.76595,-122.4304,2013-10-25,7,1,Entire rental unit,Entire home/apt,2,1,110.0,4.709530201312334
Inner Richmond,37.78546,-122.46148,2011-06-14,1,1,Entire home,Entire home/apt,6,3,552.0,6.315358001522335
Castro/Upper Market,37.7577,-122.43683,2015-09-08,1,1,Entire rental unit,Entire home/apt,2,1,166.0,5.117993812416755
Nob Hill,37.79619,-122.41189,2015-11-28,1,1,Entire rental unit,Entire home/apt,3,1,125.0,4.836281906951478
Downtown/Civic Center,37.77916,-122.42119,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,99.0,4.605170185988092
Mission,37.75119,-122.41427,2015-12-01,1,1,Entire guest suite,Entire home/apt,2,1,191.0,5.2574953720277815
Glen Park,37.74088,-122.43251,2012-04-23,2,1,Entire rental unit,Entire home/apt,5,3,206.0,5.332718793265369
